"Date(UTC)","UnixTimeStamp","Value"
"3/13/2021","1615593600","14114"
"3/14/2021","1615680000","16349"
"3/15/2021","1615766400","16746"
"3/16/2021","1615852800","18170"
"3/17/2021","1615939200","16103"
"3/18/2021","1616025600","17480"
"3/19/2021","1616112000","23842"
"3/20/2021","1616198400","22371"
"3/21/2021","1616284800","13914"
"3/22/2021","1616371200","19565"
"3/23/2021","1616457600","16711"
"3/24/2021","1616544000","11741"
"3/25/2021","1616630400","9599"
"3/26/2021","1616716800","9313"
"3/27/2021","1616803200","11313"
"3/28/2021","1616889600","80139"
"3/29/2021","1616976000","26437"
"3/30/2021","1617062400","18650"
"3/31/2021","1617148800","15183"
"4/1/2021","1617235200","45381"
"4/2/2021","1617321600","26810"
"4/3/2021","1617408000","19502"
"4/4/2021","1617494400","17071"
"4/5/2021","1617580800","23584"
"4/6/2021","1617667200","21920"
"4/7/2021","1617753600","17951"
"4/8/2021","1617840000","17127"
"4/9/2021","1617926400","13700"
"4/10/2021","1618012800","12455"
"4/11/2021","1618099200","9668"
"4/12/2021","1618185600","12942"
"4/13/2021","1618272000","10703"
"4/14/2021","1618358400","15514"
"4/15/2021","1618444800","12826"
"4/16/2021","1618531200","9437"
"4/17/2021","1618617600","9787"
"4/18/2021","1618704000","14453"
"4/19/2021","1618790400","16993"
"4/20/2021","1618876800","31353"
"4/21/2021","1618963200","27505"
"4/22/2021","1619049600","22141"
"4/23/2021","1619136000","18371"
"4/24/2021","1619222400","12530"
"4/25/2021","1619308800","13035"
"4/26/2021","1619395200","13404"
"4/27/2021","1619481600","11859"
"4/28/2021","1619568000","20301"
"4/29/2021","1619654400","21479"
"4/30/2021","1619740800","50587"
"5/1/2021","1619827200","78515"
"5/2/2021","1619913600","44524"
"5/3/2021","1620000000","61887"
"5/4/2021","1620086400","42169"
"5/5/2021","1620172800","37221"
"5/6/2021","1620259200","44401"
"5/7/2021","1620345600","51089"
"5/8/2021","1620432000","41435"
"5/9/2021","1620518400","37241"
"5/10/2021","1620604800","38548"
"5/11/2021","1620691200","36341"
"5/12/2021","1620777600","41909"
"5/13/2021","1620864000","47253"
"5/14/2021","1620950400","67672"
"5/15/2021","1621036800","37970"
"5/16/2021","1621123200","38919"
"5/17/2021","1621209600","42967"
"5/18/2021","1621296000","33201"
"5/19/2021","1621382400","45798"
"5/20/2021","1621468800","30093"
"5/21/2021","1621555200","26659"
"5/22/2021","1621641600","21138"
"5/23/2021","1621728000","31358"
"5/24/2021","1621814400","27424"
"5/25/2021","1621900800","24008"
"5/26/2021","1621987200","19253"
"5/27/2021","1622073600","17068"
"5/28/2021","1622160000","18801"
"5/29/2021","1622246400","20417"
"5/30/2021","1622332800","15742"
"5/31/2021","1622419200","18147"
"6/1/2021","1622505600","41936"
"6/2/2021","1622592000","22680"
"6/3/2021","1622678400","19950"
"6/4/2021","1622764800","16740"
"6/5/2021","1622851200","13231"
"6/6/2021","1622937600","11699"
"6/7/2021","1623024000","16760"
"6/8/2021","1623110400","15318"
"6/9/2021","1623196800","15043"
"6/10/2021","1623283200","14377"
"6/11/2021","1623369600","14073"
"6/12/2021","1623456000","11668"
"6/13/2021","1623542400","13797"
"6/14/2021","1623628800","18871"
"6/15/2021","1623715200","16171"
"6/16/2021","1623801600","17053"
"6/17/2021","1623888000","15773"
"6/18/2021","1623974400","12031"
"6/19/2021","1624060800","11076"
"6/20/2021","1624147200","13357"
"6/21/2021","1624233600","14760"
"6/22/2021","1624320000","15754"
"6/23/2021","1624406400","15662"
"6/24/2021","1624492800","16287"
"6/25/2021","1624579200","23287"
"6/26/2021","1624665600","19345"
"6/27/2021","1624752000","15217"
"6/28/2021","1624838400","10211"
"6/29/2021","1624924800","15125"
"6/30/2021","1625011200","10941"
"7/1/2021","1625097600","8753"
"7/2/2021","1625184000","10651"
"7/3/2021","1625270400","21250"
"7/4/2021","1625356800","13649"
"7/5/2021","1625443200","14026"
"7/6/2021","1625529600","15887"
"7/7/2021","1625616000","19041"
"7/8/2021","1625702400","14435"
"7/9/2021","1625788800","13503"
"7/10/2021","1625875200","9630"
"7/11/2021","1625961600","10474"
"7/12/2021","1626048000","13173"
"7/13/2021","1626134400","11403"
"7/14/2021","1626220800","12225"
"7/15/2021","1626307200","12461"
"7/16/2021","1626393600","13388"
"7/17/2021","1626480000","10736"
"7/18/2021","1626566400","10081"
"7/19/2021","1626652800","11218"
"7/20/2021","1626739200","11366"
"7/21/2021","1626825600","11965"
"7/22/2021","1626912000","10089"
"7/23/2021","1626998400","10782"
"7/24/2021","1627084800","9372"
"7/25/2021","1627171200","9225"
"7/26/2021","1627257600","15755"
"7/27/2021","1627344000","12834"
"7/28/2021","1627430400","13546"
"7/29/2021","1627516800","18600"
"7/30/2021","1627603200","16742"
"7/31/2021","1627689600","11131"
"8/1/2021","1627776000","12568"
"8/2/2021","1627862400","12851"
"8/3/2021","1627948800","12456"
"8/4/2021","1628035200","11002"
"8/5/2021","1628121600","10640"
"8/6/2021","1628208000","12983"
"8/7/2021","1628294400","11402"
"8/8/2021","1628380800","9513"
"8/9/2021","1628467200","13495"
"8/10/2021","1628553600","26077"
"8/11/2021","1628640000","37938"
"8/12/2021","1628726400","18069"
"8/13/2021","1628812800","17154"
"8/14/2021","1628899200","13380"
"8/15/2021","1628985600","12489"
"8/16/2021","1629072000","23271"
"8/17/2021","1629158400","34237"
"8/18/2021","1629244800","41500"
"8/19/2021","1629331200","84427"
"8/20/2021","1629417600","91288"
"8/21/2021","1629504000","169718"
"8/22/2021","1629590400","102298"
"8/23/2021","1629676800","134848"
"8/24/2021","1629763200","157854"
"8/25/2021","1629849600","217288"
"8/26/2021","1629936000","184544"
"8/27/2021","1630022400","229933"
"8/28/2021","1630108800","188017"
"8/29/2021","1630195200","160770"
"8/30/2021","1630281600","160024"
"8/31/2021","1630368000","115195"
"9/1/2021","1630454400","116300"
"9/2/2021","1630540800","151844"
"9/3/2021","1630627200","118303"
"9/4/2021","1630713600","96303"
"9/5/2021","1630800000","84631"
"9/6/2021","1630886400","131288"
"9/7/2021","1630972800","130402"
"9/8/2021","1631059200","125793"
"9/9/2021","1631145600","131821"
"9/10/2021","1631232000","169551"
"9/11/2021","1631318400","186079"
"9/12/2021","1631404800","215451"
"9/13/2021","1631491200","154903"
"9/14/2021","1631577600","144660"
"9/15/2021","1631664000","192639"
"9/16/2021","1631750400","195978"
"9/17/2021","1631836800","160848"
"9/18/2021","1631923200","168389"
"9/19/2021","1632009600","173133"
"9/20/2021","1632096000","178091"
"9/21/2021","1632182400","154805"
"9/22/2021","1632268800","155478"
"9/23/2021","1632355200","212184"
"9/24/2021","1632441600","203846"
"9/25/2021","1632528000","157700"
"9/26/2021","1632614400","146319"
"9/27/2021","1632700800","208186"
"9/28/2021","1632787200","172081"
"9/29/2021","1632873600","172188"
"9/30/2021","1632960000","170813"
"10/1/2021","1633046400","194298"
"10/2/2021","1633132800","161068"
"10/3/2021","1633219200","153561"
"10/4/2021","1633305600","251518"
"10/5/2021","1633392000","285422"
"10/6/2021","1633478400","229308"
"10/7/2021","1633564800","192434"
"10/8/2021","1633651200","219455"
"10/9/2021","1633737600","180294"
"10/10/2021","1633824000","230529"
"10/11/2021","1633910400","250070"
"10/12/2021","1633996800","244210"
"10/13/2021","1634083200","201622"
"10/14/2021","1634169600","176739"
"10/15/2021","1634256000","224402"
"10/16/2021","1634342400","182453"
"10/17/2021","1634428800","161121"
"10/18/2021","1634515200","196489"
"10/19/2021","1634601600","188584"
"10/20/2021","1634688000","283279"
"10/21/2021","1634774400","286179"
"10/22/2021","1634860800","420001"
"10/23/2021","1634947200","329813"
"10/24/2021","1635033600","331435"
"10/25/2021","1635120000","360481"
"10/26/2021","1635206400","470623"
"10/27/2021","1635292800","314319"
"10/28/2021","1635379200","283370"
"10/29/2021","1635465600","277968"
"10/30/2021","1635552000","260017"
"10/31/2021","1635638400","287583"
"11/1/2021","1635724800","255203"
"11/2/2021","1635811200","279974"
"11/3/2021","1635897600","297357"
"11/4/2021","1635984000","304436"
"11/5/2021","1636070400","343850"
"11/6/2021","1636156800","382106"
"11/7/2021","1636243200","309120"
"11/8/2021","1636329600","556581"
"11/9/2021","1636416000","453806"
"11/10/2021","1636502400","466196"
"11/11/2021","1636588800","353876"
"11/12/2021","1636675200","329236"
"11/13/2021","1636761600","519992"
"11/14/2021","1636848000","393929"
"11/15/2021","1636934400","514023"
"11/16/2021","1637020800","459272"
"11/17/2021","1637107200","534001"
"11/18/2021","1637193600","664674"
"11/19/2021","1637280000","519677"
"11/20/2021","1637366400","587912"
"11/21/2021","1637452800","669756"
"11/22/2021","1637539200","610864"
"11/23/2021","1637625600","608527"
"11/24/2021","1637712000","603653"
"11/25/2021","1637798400","643920"
"11/26/2021","1637884800","700988"
"11/27/2021","1637971200","516142"
"11/28/2021","1638057600","506723"
"11/29/2021","1638144000","541509"
"11/30/2021","1638230400","539943"
"12/1/2021","1638316800","549246"
"12/2/2021","1638403200","548172"
"12/3/2021","1638489600","627682"
"12/4/2021","1638576000","655752"
"12/5/2021","1638662400","493018"
"12/6/2021","1638748800","639438"
"12/7/2021","1638835200","615379"
"12/8/2021","1638921600","750855"
"12/9/2021","1639008000","700843"
"12/10/2021","1639094400","668402"
"12/11/2021","1639180800","626314"
"12/12/2021","1639267200","625384"
"12/13/2021","1639353600","722863"
"12/14/2021","1639440000","717077"
"12/15/2021","1639526400","731079"
"12/16/2021","1639612800","734852"
"12/17/2021","1639699200","756012"
"12/18/2021","1639785600","693769"
"12/19/2021","1639872000","645638"
"12/20/2021","1639958400","877021"
"12/21/2021","1640044800","893548"
"12/22/2021","1640131200","959720"
"12/23/2021","1640217600","827044"
"12/24/2021","1640304000","649323"
"12/25/2021","1640390400","496372"
"12/26/2021","1640476800","556615"
"12/27/2021","1640563200","665344"
"12/28/2021","1640649600","696089"
"12/29/2021","1640736000","601794"
"12/30/2021","1640822400","586505"
"12/31/2021","1640908800","558763"
"1/1/2022","1640995200","515658"
"1/2/2022","1641081600","675179"
"1/3/2022","1641168000","696446"
"1/4/2022","1641254400","677192"
"1/5/2022","1641340800","728119"
"1/6/2022","1641427200","737200"
"1/7/2022","1641513600","894876"
"1/8/2022","1641600000","696913"
"1/9/2022","1641686400","626947"
"1/10/2022","1641772800","663005"
"1/11/2022","1641859200","670971"
"1/12/2022","1641945600","685423"
"1/13/2022","1642032000","609509"
"1/14/2022","1642118400","680696"
"1/15/2022","1642204800","726921"
"1/16/2022","1642291200","806896"
"1/17/2022","1642377600","1010496"
"1/18/2022","1642464000","810977"
"1/19/2022","1642550400","811164"
"1/20/2022","1642636800","762659"
"1/21/2022","1642723200","812009"
"1/22/2022","1642809600","829590"
"1/23/2022","1642896000","718996"
"1/24/2022","1642982400","748197"
"1/25/2022","1643068800","729935"
"1/26/2022","1643155200","943782"
"1/27/2022","1643241600","1100404"
"1/28/2022","1643328000","827066"
"1/29/2022","1643414400","911356"
"1/30/2022","1643500800","831052"
"1/31/2022","1643587200","904472"
"2/1/2022","1643673600","969814"
"2/2/2022","1643760000","920330"
"2/3/2022","1643846400","892769"
"2/4/2022","1643932800","938969"
"2/5/2022","1644019200","896925"
